SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,none,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,none,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,4.096,8,10,none,7.5,400,4406,11.015,286,262,0.916084,0.895492,0.873927,0.844052,0.815939,0.764706,0.701497,0.701497,0.701497,0.701497,0.437388
3,9.216,18,10,none,7.5,400,4206,10.515,358,323,0.902235,0.861829,0.841746,0.807213,0.77631,0.725954,0.661526,0.661526,0.661526,0.661526,0.453185
4,13.824,27,10,none,7.5,400,4368,10.92,334,296,0.886228,0.868902,0.874475,0.843875,0.798791,0.749096,0.68277,0.68277,0.68277,0.68277,0.471551
5,15.872,31,10,none,7.5,400,4471,11.1775,348,318,0.913793,0.879845,0.871406,0.839177,0.806459,0.758701,0.699312,0.699312,0.699312,0.699312,0.448942
6,17.408,34,10,none,7.5,400,4478,11.195,282,261,0.925532,0.885797,0.86523,0.833125,0.800258,0.756612,0.684613,0.684613,0.684613,0.684613,0.43901
7,15.872,31,10,none,7.5,400,4509,11.2725,262,231,0.881679,0.873469,0.855769,0.824274,0.797609,0.753196,0.683086,0.683086,0.683086,0.683086,0.477308
8,15.36,30,10,none,7.5,400,4482,11.205,232,210,0.905172,0.859959,0.832707,0.804935,0.782054,0.739038,0.669958,0.669958,0.669958,0.669958,0.473049
9,17.408,34,10,none,7.5,400,4757,11.8925,232,204,0.87931,0.880117,0.859155,0.838184,0.814214,0.772015,0.69859,0.69859,0.69859,0.69859,0.470059
10,14.848,29,10,none,7.5,400,4476,11.19,248,224,0.903226,0.851638,0.815103,0.793802,0.767754,0.721463,0.656397,0.656397,0.656397,0.656397,0.492185
11,18.432,36,10,none,7.5,400,4741,11.8525,263,248,0.942966,0.893805,0.85798,0.834204,0.810612,0.754777,0.689209,0.689209,0.689209,0.689209,0.495306
