SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,none,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,none,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,6.144,12,10,none,7.5,400,4321,10.8025,286,263,0.91958,0.901639,0.880365,0.842719,0.814279,0.75625,0.687958,0.687958,0.687958,0.687958,0.671784
3,18.432,36,10,none,7.5,400,4339,10.8475,358,316,0.882682,0.858847,0.842271,0.824262,0.796355,0.749082,0.682769,0.682769,0.682769,0.682769,0.556375
4,17.92,35,10,none,7.5,400,4638,11.595,334,319,0.95509,0.921748,0.910714,0.879827,0.838854,0.79013,0.724828,0.724828,0.724828,0.724828,0.498337
5,18.432,36,10,none,7.5,400,4682,11.705,348,318,0.913793,0.909884,0.886043,0.859119,0.83485,0.791891,0.732009,0.732009,0.732009,0.732009,0.467707
6,16.384,32,10,none,7.5,400,4510,11.275,282,260,0.921986,0.908829,0.874248,0.839063,0.800689,0.759471,0.689355,0.689355,0.689355,0.689355,0.447138
7,16.384,32,10,none,7.5,400,4721,11.8025,262,248,0.946565,0.942857,0.896154,0.868437,0.833476,0.785334,0.71552,0.71552,0.71552,0.71552,0.433219
8,15.36,30,10,none,7.5,400,4805,12.0125,232,217,0.935345,0.911826,0.887688,0.859871,0.84159,0.794024,0.718282,0.718282,0.718282,0.718282,0.423221
9,14.336,28,10,none,7.5,400,4706,11.765,232,206,0.887931,0.867446,0.846009,0.825087,0.804863,0.76749,0.691099,0.691099,0.691099,0.691099,0.4161
10,15.872,31,10,none,7.5,400,4784,11.96,248,226,0.91129,0.885356,0.859954,0.83927,0.81668,0.769139,0.701585,0.701585,0.701585,0.701585,0.411538
11,11.264,22,10,none,7.5,400,4720,11.8,263,251,0.954373,0.904621,0.861587,0.835075,0.80432,0.750251,0.6863,0.6863,0.6863,0.6863,0.408151
