SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,none,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,none,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6.144,12,10,none,7.5,400,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0.356626
3,20.48,40,10,none,7.5,400,0,0,358,0,0,0,0,0,0,0,0,0,0,0,27251.6
4,18.432,36,10,none,7.5,400,0,0,334,0,0,0,0,0,0,0,0,0,0,0,19270
5,20.992,41,10,none,7.5,400,0,0,348,0,0,0,0,0,0,0,0,0,0,0,17371.3
6,19.968,39,10,none,7.5,400,0,0,282,0,0,0,0,0,0,0,0,0,0,0,15899.9
7,20.48,40,10,none,7.5,400,0,0,262,0,0,0,0,0,0,0,0,0,0,0,14087
8,20.48,40,10,none,7.5,400,0,0,232,0,0,0,0,0,0,0,0,0,0,0,12570.1
9,19.968,39,10,none,7.5,400,0,0,232,0,0,0,0,0,0,0,0,0,0,0,11815.5
10,19.968,39,10,none,7.5,400,0,0,248,0,0,0,0,0,0,0,0,0,0,0,10999.9
11,20.48,40,10,none,7.5,400,0,0,263,0,0,0,0,0,0,0,0,0,0,0,10474.7
12,20.48,40,10,none,7.5,400,0,0,244,0,0,0,0,0,0,0,0,0,0,0,10003.1
13,20.992,41,10,none,7.5,400,0,0,229,0,0,0,0,0,0,0,0,0,0,0,9564.26
14,20.48,40,10,none,7.5,400,0,0,266,0,0,0,0,0,0,0,0,0,0,0,9182.03
15,20.48,40,10,none,7.5,400,0,0,247,0,0,0,0,0,0,0,0,0,0,0,8820.62
16,19.456,38,10,none,7.5,400,0,0,242,0,0,0,0,0,0,0,0,0,0,0,8355.54
17,20.48,40,10,none,7.5,400,0,0,249,0,0,0,0,0,0,0,0,0,0,0,7917.86
18,19.968,39,10,none,7.5,400,0,0,322,0,0,0,0,0,0,0,0,0,0,0,7539.23
19,20.48,40,10,none,7.5,400,0,0,317,0,0,0,0,0,0,0,0,0,0,0,7262.97
20,20.48,40,10,none,7.5,400,0,0,308,0,0,0,0,0,0,0,0,0,0,0,7052.01
21,20.48,40,10,none,7.5,400,0,0,312,0,0,0,0,0,0,0,0,0,0,0,6859.31
22,20.48,40,10,none,7.5,400,0,0,332,0,0,0,0,0,0,0,0,0,0,0,6667.14
23,20.48,40,10,none,7.5,400,0,0,346,0,0,0,0,0,0,0,0,0,0,0,6475.56
24,20.48,40,10,none,7.5,400,0,0,417,0,0,0,0,0,0,0,0,0,0,0,6272.23
25,18.944,37,10,none,7.5,400,0,0,380,0,0,0,0,0,0,0,0,0,0,0,6011.87
26,20.48,40,10,none,7.5,400,0,0,355,0,0,0,0,0,0,0,0,0,0,0,5786.87
27,20.48,40,10,none,7.5,400,0,0,343,0,0,0,0,0,0,0,0,0,0,0,5667.49
28,19.456,38,10,none,7.5,400,0,0,336,0,0,0,0,0,0,0,0,0,0,0,5532.04
29,20.992,41,10,none,7.5,400,0,0,330,0,0,0,0,0,0,0,0,0,0,0,5419.9
30,20.48,40,10,none,7.5,400,0,0,388,0,0,0,0,0,0,0,0,0,0,0,5312.25
31,20.48,40,10,none,7.5,400,0,0,344,0,0,0,0,0,0,0,0,0,0,0,5206.7
32,19.968,39,10,none,7.5,400,0,0,366,0,0,0,0,0,0,0,0,0,0,0,5108.66
33,20.48,40,10,none,7.5,400,0,0,440,0,0,0,0,0,0,0,0,0,0,0,5011.02
