SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,none,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,none,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,10,none,7.5,400,4224,10.56,286,253,0.884615,0.867828,0.837983,0.810063,0.787239,0.735662,0.672507,0.672507,0.672507,0.672507,0.256388
3,4.608,9,10,none,7.5,400,4721,11.8025,358,343,0.958101,0.940358,0.910095,0.88,0.858314,0.811307,0.742722,0.742722,0.742722,0.742722,0.272436
4,9.216,18,10,none,7.5,400,4607,11.5175,334,300,0.898204,0.882114,0.899685,0.873502,0.830797,0.787961,0.720138,0.720138,0.720138,0.720138,0.263677
5,6.656,13,10,none,7.5,400,4528,11.32,348,321,0.922414,0.905039,0.880293,0.84561,0.815561,0.768568,0.70776,0.70776,0.70776,0.70776,0.274957
6,6.144,12,10,none,7.5,400,4641,11.6025,282,268,0.950355,0.921305,0.893788,0.851562,0.82006,0.779485,0.70985,0.70985,0.70985,0.70985,0.271292
7,6.144,12,10,none,7.5,400,4687,11.7175,262,238,0.908397,0.890816,0.885096,0.850216,0.820666,0.778409,0.709912,0.709912,0.709912,0.709912,0.27859
8,6.144,12,10,none,7.5,400,4546,11.365,232,213,0.918103,0.887967,0.849154,0.821974,0.797576,0.754243,0.679982,0.679982,0.679982,0.679982,0.275941
9,8.704,17,10,none,7.5,400,4463,11.1575,232,218,0.939655,0.876218,0.825822,0.793364,0.76517,0.729029,0.655259,0.655259,0.655259,0.655259,0.281115
10,9.216,18,10,none,7.5,400,4690,11.725,248,223,0.899194,0.851638,0.817849,0.80278,0.790875,0.751025,0.68794,0.68794,0.68794,0.68794,0.279755
11,7.168,14,10,none,7.5,400,4815,12.0375,263,241,0.91635,0.877089,0.864743,0.844077,0.818372,0.764164,0.699971,0.699971,0.699971,0.699971,0.287629
