SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed,n_nodes
0,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,160.0
1,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,160.0
2,4.096,8,10,protocol,7.5,1600,27822,17.3888,4206,2880,0.684736,0.521602,0.435312,0.38833,0.350593,0.30862,0.27044,0.27044,0.27044,0.27044,0.363336,20,160.0
3,10.24,20,10,protocol,7.5,1600,27719,17.3244,4300,2834,0.6590699999999999,0.497852,0.416016,0.37549,0.342301,0.302749,0.26524000000000003,0.26524000000000003,0.26524000000000003,0.26524000000000003,0.465934,20,160.0
4,10.752,21,10,protocol,7.5,1600,26010,16.2563,4354,2689,0.6175930000000001,0.455423,0.383715,0.341975,0.309931,0.278471,0.245914,0.245914,0.245914,0.245914,0.507474,20,160.0
5,13.312,26,10,protocol,7.5,1600,29592,18.495,4424,2770,0.62613,0.478105,0.412988,0.376999,0.345503,0.311307,0.27546,0.27546,0.27546,0.27546,0.5340050000000001,20,160.0
6,15.872,31,10,protocol,7.5,1600,26946,16.8412,4630,2891,0.624406,0.45261,0.38311,0.345958,0.315872,0.28181,0.247146,0.247146,0.247146,0.247146,0.536918,20,160.0
7,15.872,31,10,protocol,7.5,1600,30646,19.1537,4654,3053,0.655995,0.486298,0.419917,0.384217,0.35368,0.316619,0.278171,0.278171,0.278171,0.278171,0.5365880000000001,20,160.0
8,15.36,30,10,protocol,7.5,1600,27843,17.4019,4852,2971,0.612325,0.454957,0.387209,0.35094699999999995,0.321648,0.284672,0.250904,0.250904,0.250904,0.250904,0.5253979999999999,20,160.0
9,8.192,16,10,protocol,7.5,1600,28010,17.5063,5111,3128,0.612013,0.454871,0.386218,0.34944400000000003,0.318974,0.283083,0.249857,0.249857,0.249857,0.249857,0.5213810000000001,20,160.0
